Item,Description,Importance,Vendor,Price,Quantity,Cost,Subgroup,Group,Semester
"6061 ALUMINUM 1/8"" THICK","Aluminum stock for Bulkheads and Structure, 12"" X 12""",Pretty Important,MCMASTER,35.86,1,35.86,Airframe,Redshift,Summer I 2022
BEARING,Angled contact double row,Pretty Important,MCMASTER,44.82,1,44.82,Internal Mech,Redshift,Spring 2023
BEARING,Angled contact double row,Pretty Important,MCMASTER,44.82,3,134.46,Internal Mech,Redshift,Fall 2022
BEARING,Angled contact single row,Pretty Important,MCMASTER,40.87,2,81.74,Internal Mech,Redshift,Spring 2023
BEARING,Angled contact single row,Pretty Important,MCMASTER,40.87,3,122.61,Internal Mech,Redshift,Fall 2022
BOLTS,Barrel Binding Bolts,Pretty Important,MCMASTER,2.77,18,49.86,Starship,Redshift,Spring 2023
EXTERNAL SWISS CLAMP,based on similar past LTC jobs,Necessary for Any Progress,LTC PROTO,713.00,1,713.00,Internal Mech,Redshift,Spring 2023
GROUNDSTATION HOLDER BOX,"Battery, GPS, misc wiring, 3d printed case",Not necessary,DIGIKEY,50.00,2,100.00,Avionics,Redshift,Spring 2023
ALUMINUM PLATE STOCK,better blast shield,Pretty Important,MCMASTER,13.63,2,27.26,Propulsion,Redshift,Fall 2022
INJECTOR BOLTS,"Black-Oxide Alloy Steel Socket Head Screw, 1/2""-20 Thread Size, 1-7/8"" Long",Pretty Important,MCMASTER,4.29,12,51.48,Propulsion,Redshift,Spring 2023
INJECTOR BOLTS,"Black-Oxide Alloy Steel Socket Head Screw, 1/2""-20 Thread Size, 1-7/8"" Long",Necessary for Any Progress,MCMASTER,4.29,12,51.48,Propulsion,Redshift,Fall 2022
"CARBON FIBER SHEET 1/8"" Thick","Carbon Stock for Bulkheads and Structure, 12"" X 12""",Necessary for Any Progress,DRAGON PLATE,59.94,2,119.88,Airframe,Redshift,Fall 2022
"CARBON FIBER SHEET 1/8"" Thick","Carbon Stock for Bulkheads and Structure, 12"" X 12""",Necessary for Any Progress,DRAGON PLATE,59.94,1,59.94,Airframe,Redshift,Summer II 2022
"CARBON FIBER SHEET 1/8"" Thick","Carbon Stock for Bulkheads and Structure, 12"" X 12""",Necessary for Any Progress,DRAGON PLATE,59.94,1,59.94,Airframe,Redshift,Summer I 2022
29MM MMT,Christmass tree memes,Pretty Important,,4.00,2,8.00,Avionics,Redshift,Spring 2023
"3IN MAILING TOOB, SET OF 2",Christmass tree memes,Pretty Important,,13.00,1,13.00,Avionics,Redshift,Spring 2023
CHRISTMAS TREE PCBS,Christmass tree memes,Pretty Important,,10.00,1,10.00,Avionics,Redshift,Spring 2023
CHRISTMAS TREE PCBA COMPONENTS,Christmass tree memes,Pretty Important,,20.00,4,80.00,Avionics,Redshift,Spring 2023
"SECO SEALS, ASSORTED",Cold flow,Necessary for Any Progress,SECO,200.00,1,200.00,Propulsion,Redshift,Summer I 2022
DRY ICE,"Cold flow, hot fire",Necessary for Any Progress,BROOKLINE ICE COMPANY,50.00,2,100.00,Propulsion,Redshift,Summer I 2022
KEROSENE,"Cold flow, hot fire",Necessary for Any Progress,HOME DEPOT,26.97,3,80.91,Propulsion,Redshift,Summer I 2022
ANGULAR-CONTACT BALL BEARING,Compact External Marman Clamp,Necessary for Any Progress,MCMASTER,39.33,2,78.66,Internal Mech,Redshift,Summer II 2022
BALL BEARING,Compact External Marman Clamp,Necessary for Any Progress,MCMASTER,13.09,2,26.18,Internal Mech,Redshift,Summer II 2022
NEW RELEASE MOUNTS,Compact External Marman Clamp,Necessary for Any Progress,LTC,40.00,4,160.00,Internal Mech,Redshift,Summer I 2022
NEW V-CLAMPS,Compact External Marman Clamp,Necessary for Any Progress,LTC,25.00,8,200.00,Internal Mech,Redshift,Summer I 2022
301 SPRING STEEL,Compact External Marman Clamp,Necessary for Any Progress,MCMASTER,37.61,2,75.22,Internal Mech,Redshift,Summer I 2022
ANGULAR-CONTACT BALL BEARING,Compact External Marman Clamp,Pretty Important,MCMASTER,39.33,1,39.33,Internal Mech,Redshift,Summer I 2022
BALL BEARING,Compact External Marman Clamp,Pretty Important,MCMASTER,13.09,1,13.09,Internal Mech,Redshift,Summer I 2022
NEW FLANGES,Compact External Marman Clamp,Necessary for Any Progress,LTC,180.00,1,180.00,Internal Mech,Redshift,Summer I 2022
1/4-12 4-START ACME LEAD SCREW,Compact External Marman Clamp,Necessary for Any Progress,MCMASTER,10.72,1,10.72,Internal Mech,Redshift,Summer II 2022
1/4-12 4-START ACME LEAD SCREW,Compact External Marman Clamp,Necessary for Any Progress,MCMASTER,10.72,1,10.72,Internal Mech,Redshift,Summer I 2022
LOX INLET HOSE,cryo hose for inlet,Pretty Important,FLEXLINE,125.50,1,125.50,Propulsion,Redshift,Spring 2023
LOX INLET HOSE,cryo hose for inlet,Necessary for Any Progress,FLEXLINE,125.50,1,125.50,Propulsion,Redshift,Fall 2022
PRESSURE TRANSDUCER,"Differential, -1 kPa to 1 kPa, for car-mounted airspeed sensor",Necessary for Any Progress,DIGIKEY,47.04,2,94.08,Internal Mech,Redshift,Spring 2023
PRESSURE TRANSDUCER,"Differential, -1 kPa to 1 kPa, for car-mounted airspeed sensor",Necessary for Any Progress,DIGIKEY,47.04,2,94.08,Internal Mech,Redshift,Fall 2022
GRAFOIL,Engine gasket,Necessary for Any Progress,MCMASTER,26.12,2,52.24,Propulsion,Redshift,Summer I 2022
BODY TUBE (PROJECT 2 STAGE),FG/BT body tube. will try to reuse as much from lab,Necessary for Any Progress,ARR/APOGEE/WILDMAN,200.00,1,200.00,Airframe,Redshift,Spring 2023
"FIBER GLASS SHEET 1/16"" THICK","Fiber glass stock for Bulkheads and Structure, 12"" X 12""",Pretty Important,MCMASTER,18.08,2,36.16,Airframe,Redshift,Fall 2022
NOSE CONE,"fillament wound FG 6""",Necessary for Any Progress,COMPOSITE WAREHOUSE,168.99,1,168.99,Internal Mech,Redshift,Spring 2023
CF FINS,fins - mildy important for flight,Necessary for Any Progress,IN HOUSE,200.00,1,200.00,Airframe,Redshift,Spring 2023
-06 JIC CAPS,fitting,Necessary for Any Progress,TITAN FITTINGS,7.14,2,14.28,Propulsion,Redshift,Summer II 2022
-08 JIC ELBOW M-->F,fitting,Necessary for Any Progress,TITAN FITTINGS,48.51,2,97.02,Propulsion,Redshift,Summer II 2022
-04 TO -08 NPT BUSHING,fitting,Necessary for Any Progress,GRAINGER,6.15,2,12.30,Propulsion,Redshift,Summer II 2022
-08 JIC TEE,fitting,Necessary for Any Progress,TITAN FITTINGS,53.88,1,53.88,Propulsion,Redshift,Summer II 2022
MK1 FLANGE,flange for MK1,Necessary for Any Progress,ELLIE FROM CHINESE PLACE,250.00,1,250.00,Airframe,Redshift,Spring 2023
"3/4"" SHEET METAL BLAST SHIELD",For blast shield redesign,Pretty Important,MCMASTER,115.14,1,115.14,Propulsion,Redshift,Spring 2023
ALUMINUM FOR CASTER ADAPTERS,"for bolsterng casters, one is dead",Necessary for Any Progress,MCMASTER,14.87,4,59.48,Propulsion,Redshift,Summer II 2022
SHAFT COLLAR,for car-mounted parachute testing.,Necessary for Any Progress,MCMASTER,7.69,2,15.38,Infernal Mech,Redshift,Summer II 2022
CASTER WHEELS,for dolly,Necessary for Any Progress,AMAZON,26.99,1,26.99,Propulsion,Redshift,Fall 2022
MESH FOR FAN,for electronics box,Necessary for Any Progress,MCMASTER,4.40,1,4.40,Propulsion,Redshift,Summer II 2022
HINGES,for electronics box,Necessary for Any Progress,MCMASTER,4.54,1,4.54,Propulsion,Redshift,Summer II 2022
LATCH,for electronics box,Necessary for Any Progress,MCMASTER,9.73,1,9.73,Propulsion,Redshift,Summer II 2022
ICE,for filling tank with LN2,Necessary for Any Progress,BROOKLINE ICE COMPANY,51.00,1,51.00,Propulsion,Redshift,Summer II 2022
TAP,for fixing fittings,Necessary for Any Progress,MCMASTER,49.84,1,49.84,Propulsion,Redshift,Summer II 2022
FOAM FOR INSULATION,for insulating pipes,Pretty Important,FOAM FACTORY,50.00,1,50.00,Propulsion,Redshift,Summer II 2022
ALUMINUM STOCK,for load cell carriage,Necessary for Any Progress,MCMASTER,9.10,1,9.10,Propulsion,Redshift,Summer II 2022
GUSSET,for load cell carriage,Necessary for Any Progress,8020.NET,11.12,1,11.12,Propulsion,Redshift,Summer II 2022
DRY ICE,for lox flow line during hotfire,Necessary for Any Progress,BROOKLINE,51.00,1,51.00,Propulsion,Redshift,Spring 2023
DRY ICE,for lox flow line during hotfire,Necessary for Any Progress,BROOKLINE,51.00,1,51.00,Propulsion,Redshift,Fall 2022
CASTER,"for moving test stand, one is dead",Necessary for Any Progress,MCMASTER,66.21,1,66.21,Propulsion,Redshift,Summer II 2022
PC MAX,for release mount test parts,Pretty Important,POLYMAKER,38.99,1,38.99,Internal Mech,Redshift,Summer II 2022
KERO VALVE,for vent tree,Necessary for Any Progress,MCMASTER,40.99,1,40.99,Propulsion,Redshift,Summer II 2022
MCMASTER HARDWARE,For wind tunnel setup,Necessary for Any Progress,MCMASTER,30.00,1,30.00,Sims,Redshift,Summer II 2022
GRAVEL,gravel to put under,Pretty Important,LOWES,3.98,16,63.68,Propulsion,Redshift,Summer II 2022
LIQUID OXYGEN DEWAR,Hot fire,Necessary for Any Progress,PRAXAIR,250.00,1,250.00,Propulsion,Redshift,Summer I 2022
GRAVEL,Hot fire,Pretty Important,LOWES,3.98,3,11.94,Propulsion,Redshift,Summer I 2022
BLAST SHIELD,Hot fire,Pretty Important,HOME DEPOT,174.00,1,174.00,Propulsion,Redshift,Summer I 2022
BLAST SHIELD,hot fire protection,Pretty Important,HOME DEPOT,174.00,1,174.00,Propulsion,Redshift,Summer II 2022
KERO SPILL ABSORBENT,hotfire kero cleanup,Pretty Important,GRAINGER,7.17,4,28.68,Propulsion,Redshift,Spring 2023
KERO SPILL ABSORBENT,hotfire kero cleanup,Necessary for Any Progress,GRAINGER,7.17,4,28.68,Propulsion,Redshift,Fall 2022
304 SS STOCK,injector reconstruction,Necessary for Any Progress,MCMASTER,70.03,1,70.03,Propulsion,Redshift,Fall 2022
INSULATION,Insulation,Pretty Important,MCMASTER,16.44,2,32.88,Propulsion,Redshift,Summer I 2022
PNEUMATIC PISTON,Internal Marman Clamp / General Research,Pretty Important,MCMASTER,105.87,1,105.87,Internal Mech,Redshift,Fall 2022
PNEUMATIC PISTON,Internal Marman Clamp / General Research,Pretty Important,MCMASTER,105.87,1,105.87,Internal Mech,Redshift,Summer I 2022
MOTOR (STARSHIP),L3150-Vmax,Pretty Important,MOTOR JOE,351.00,1,351.00,Starship,Redshift,Spring 2023
THUMB DRIVES 128GB,Local file transfer and storage,Necessary for Any Progress,AMAZON,13.98,6,83.88,Sims,Redshift,Fall 2022
AEROTECH 98/5120 HARDWARE PACK,Mark 1 Motor Casing + hardware,Necessary for Any Progress,CHRIS'S ROCKETRY,555.19,1,555.19,Airframe,Redshift,Fall 2022
AEROTECH 98/5120 HARDWARE PACK,Mark 1 Motor Casing + hardware,Pretty Important,CHRIS'S ROCKETRY,555.19,0,0.00,Airframe,Redshift,Summer II 2022
AEROTECH 98/5120 HARDWARE PACK,Mark 1 Motor Casing + hardware,Pretty Important,CHRIS'S ROCKETRY,555.19,1,555.19,Airframe,Redshift,Summer I 2022
AEROTECH L2500ST-P 98MM/5120,Mark 1 Subsonic Motor,Necessary for Any Progress,CHRIS'S ROCKETRY,366.00,1,366.00,Airframe,Redshift,Fall 2022
AEROTECH L2500ST-P 98MM/5120,Mark 1 Subsonic Motor,Pretty Important,CHRIS'S ROCKETRY,366.00,0,0.00,Airframe,Redshift,Summer II 2022
AEROTECH L2500ST-P 98MM/5120,Mark 1 Subsonic Motor,Pretty Important,CHRIS'S ROCKETRY,366.00,1,366.00,Airframe,Redshift,Summer I 2022
WIND TUNNEL SETUP HARDWARE AND ELECTRONICS,McMaster,Pretty Important,,30.00,1,30.00,Sims,Redshift,Fall 2022
"1/4""-20 X 6' STEEL THREADED ROD",MK1 Motor Section,Necessary for Any Progress,MCMASTER,8.76,3,26.28,Airframe,Redshift,Fall 2022
98 MM X 4' FIBERGLASS TUBE,MK1 Motor Section,Necessary for Any Progress,APOGEE ROCKETS,115.50,1,115.50,Airframe,Redshift,Summer I 2022
"1/4""-20 X 6' STEEL THREADED ROD",MK1 Motor Section,Necessary for Any Progress,MCMASTER,8.76,1,8.76,Airframe,Redshift,Summer I 2022
"3/8"" OD ALUMINUM TUBE",MK1 Motor Section Support,Necessary for Any Progress,MCMASTER,48.86,3,146.58,Airframe,Redshift,Fall 2022
"3/8"" OD ALUMINUM TUBE",MK1 Motor Section Support,Necessary for Any Progress,MCMASTER,48.86,1,48.86,Airframe,Redshift,Summer I 2022
CARBON FIBRE TRANSITION SECTION,MK1 Transition Section,Not necessary,UNKNOWN,500.00,1,500.00,Airframe,Redshift,Fall 2022
AT F50-6T,Motors for christmass tree project,Pretty Important,WILDMAN,36.00,4,144.00,Avionics,Redshift,Spring 2023
INT. MARMAN CLAMP CNC COMPONENTS,"Not designed yet, based on similar past LTC jobs",Necessary for Any Progress,LTC PROTO,713.00,1,713.00,Internal Mech,Redshift,Fall 2022
LOX LINE DISCONNECT MACHINED PARTS,"Not designed yet, based on similar past LTC jobs",Pretty Important,LTC PROTO,400.00,1,400.00,Internal Mech,Redshift,Fall 2022
MK1 MARMAN CLAMP CNC PARTS,"Not designed yet, based on similar past LTC jobs",Pretty Important,LTC PROTO,713.00,1,713.00,Internal Mech,Redshift,Fall 2022
INT. MARMAN CLAMP CNC COMPONENTS,"Not fully designed yet, based on similar past LTC jobs",Necessary for Any Progress,LTC PROTO,713.00,1,713.00,Internal Mech,Redshift,Spring 2023
BREAKOUT BOARDS WITH ADCS,oops the adcs don't work,Necessary for Any Progress,AMAZON,38.22,1,38.22,Propulsion,Redshift,Summer II 2022
LOX,oxidizer for hot-fire,Necessary for Any Progress,PRAXAIR,200.00,1,200.00,Propulsion,Redshift,Summer II 2022
-04 SECO SEALS,pack of 50,Necessary for Any Progress,SECO,71.23,1,71.23,Propulsion,Redshift,Spring 2023
-08 SECO SEALS,pack of 50,Necessary for Any Progress,SECO,82.47,1,82.47,Propulsion,Redshift,Spring 2023
-04 SECO SEALS,pack of 50,Necessary for Any Progress,SECO,71.23,1,71.23,Propulsion,Redshift,Fall 2022
-08 SECO SEALS,pack of 50,Necessary for Any Progress,SECO,82.47,1,82.47,Propulsion,Redshift,Fall 2022
KERVENT SOLENOID,pneumatic double acting solenoid,Pretty Important,GRANGIER,202.80,1,202.80,Propulsion,Redshift,Spring 2023
KERVENT SOLENOID,pneumatic double acting solenoid,Necessary for Any Progress,GRANGIER,202.80,1,202.80,Propulsion,Redshift,Fall 2022
LOX,Propulsionellant dewar for hotfire,Necessary for Any Progress,MEDTECH,296.96,1,296.96,Propulsion,Redshift,Spring 2023
LOX,Propulsionellant dewar for hotfire,Necessary for Any Progress,MEDTECH,296.96,1,296.96,Propulsion,Redshift,Fall 2022
KERO,Propulsionellant for hotfire,Necessary for Any Progress,HOME DEPOT,35.00,2,70.00,Propulsion,Redshift,Spring 2023
KERO,Propulsionellant for hotfire,Pretty Important,HOME DEPOT,35.00,2,70.00,Propulsion,Redshift,Fall 2022
TARP (12' X 16' ),rain protection for test stand,Necessary for Any Progress,HOME DEPOT,31.58,1,31.58,Propulsion,Redshift,Summer II 2022
MK1 SECOND MOTOR,second Motor for Mk1 (unclear what size - hopefully L3),Necessary for Any Progress,WILDMAN,400.00,1,400.00,Airframe,Redshift,Spring 2023
FIN CAN,Sheet metal,Pretty Important,XOMETRY,400.00,1,400.00,Starship,Redshift,Spring 2023
SECO SEALS,"SS crush seals (-08), emailed quote, packet of 50",Pretty Important,SECO SEALS,70.00,1,70.00,Propulsion,Redshift,Summer II 2022
FIBER GLASS,stock,Necessary for Any Progress,MCMASTER,100.00,1,100.00,Airframe,Redshift,Spring 2023
SSD 2TB,Storage for archive of simulation files,Pretty Important,AMAZON,152.99,1,152.99,Sims,Redshift,Fall 2022
KERINLET DUCER HOSE,teflon hose for kero inlet ducer,Pretty Important,FLEXLINE,55.95,1,55.95,Propulsion,Redshift,Spring 2023
KERINLET DUCER HOSE,teflon hose for kero inlet ducer,Necessary for Any Progress,FLEXLINE,55.95,1,55.95,Propulsion,Redshift,Fall 2022
ELECTRONICS SHENANIGANS,"the adcs on the test stand died, not sure what it will take to fix them",Necessary for Any Progress,N/A,50.00,1,50.00,Propulsion,Redshift,Summer II 2022
SHIPPING,to account for shipping,Pretty Important,,60.00,1,60.00,Propulsion,Redshift,Summer II 2022
UHAUL,transport,Necessary for Any Progress,UHAUL,300.00,1,300.00,Propulsion,Redshift,Spring 2023
UHAUL,transport,Necessary for Any Progress,UHAUL,300.00,1,300.00,Propulsion,Redshift,Fall 2022
CESARONI K1440,TRD Motor,Pretty Important,CHRIS'S ROCKETRY,196.26,1,196.26,Airframe,Redshift,Fall 2022
CESARONI K1440,TRD Motor,Pretty Important,CHRIS'S ROCKETRY,196.26,0,0.00,Airframe,Redshift,Summer II 2022
CESARONI K1440,TRD Motor,Pretty Important,CHRIS'S ROCKETRY,196.26,1,196.26,Airframe,Redshift,Summer I 2022
ASSORTED NUTS AND BOLTS,unforseen circumstances,Pretty Important,MCMASTER,50.00,1,50.00,Propulsion,Redshift,Fall 2022
BATTERY CHARGER/PDB ICS,Vertical test stand/MK2 avionics,Necessary for Any Progress,DIGIKEY/MOUSER,100.00,1,100.00,Avionics,Redshift,Summer I 2022
